FECHA;PRECIO M2;VARIACION MENSUAL;VARIACION TRIMESTRAL;VARIACION ANUAL;CIUDAD;NEGOCIO
01/09/2019;6,2 ;0,0;4,6;6,6;ALGECIRAS;ALQUILER
01/10/2019;6,2 ;0,3;1,3;7,1;ALGECIRAS;ALQUILER
01/01/2014;6,3 ;0,7;2,7;9,1;SEVILLA;ALQUILER
01/02/2014;6,3 ;0,7;2,9;8,4;SEVILLA;ALQUILER
01/05/2014;6,3 ;0,7;0,3;2,8;SEVILLA;ALQUILER
01/06/2014;6,3 ;0,4;0,3;2,6;SEVILLA;ALQUILER
01/01/2015;6,3 ;0,5;2,0;0,0;SEVILLA;ALQUILER
01/11/2019;6,3 ;1,4;1,0;5,9;ALGECIRAS;ALQUILER
01/12/2019;6,3 ;0,0;1,0;6,2;ALGECIRAS;ALQUILER
01/01/2020;6,3 ;0,8;2,2;6,5;ALGECIRAS;ALQUILER
01/02/2020;6,3 ;0,9;0,1;7,3;ALGECIRAS;ALQUILER
01/03/2020;6,3 ;0,4;0,3;7,9;ALGECIRAS;ALQUILER
01/05/2020;6,3 ;1,4;0,4;6,2;ALGECIRAS;ALQUILER
01/01/2021;6,3 ;1,0;1,2;0,3;ALGECIRAS;ALQUILER
01/08/2021;6,3 ;1,3;2,0;2,3;ALGECIRAS;ALQUILER
01/09/2021;6,3 ;0,1;2,3;1,2;ALGECIRAS;ALQUILER
01/12/2013;6,4 ;1,6;2,3;9,8;SEVILLA;ALQUILER
01/03/2014;6,4 ;1,0;0,4;4,8;SEVILLA;ALQUILER
01/04/2014;6,4 ;0,0;0,3;3,2;SEVILLA;ALQUILER
01/07/2014;6,4 ;1,5;1,2;1,4;SEVILLA;ALQUILER
01/12/2014;6,4 ;1,2;1,8;0,1;SEVILLA;ALQUILER
01/02/2015;6,4 ;1,0;0,8;1,7;SEVILLA;ALQUILER
01/03/2015;6,4 ;0,4;0,8;1,1;SEVILLA;ALQUILER
01/04/2020;6,4 ;1,4;0,9;9,2;ALGECIRAS;ALQUILER
01/06/2020;6,4 ;0,6;0,7;6,8;ALGECIRAS;ALQUILER
01/07/2020;6,4 ;1,2;0,5;5,0;ALGECIRAS;ALQUILER
01/09/2020;6,4 ;1,0;0,9;3,0;ALGECIRAS;ALQUILER
01/10/2020;6,4 ;0,2;0,5;3,1;ALGECIRAS;ALQUILER
01/12/2020;6,4 ;1,2;0,4;1,5;ALGECIRAS;ALQUILER
01/02/2021;6,4 ;0,5;1,7;1,0;ALGECIRAS;ALQUILER
